MBA5941720.1	K00194
MBA5942296.1	K08097
MBA5942297.1	K07254
MBA5942298.1	
MBA5942299.1	K06868
MBA5942300.1	
MBA5942301.1	
MBA5942302.1	K15986
MBA5942303.1	K15986
MBA5942304.1	K15986
MBA5942305.1	
MBA5942306.1	
MBA5942307.1	
MBA5942308.1	
MBA5942309.1	K09739
MBA5942310.1	
MBA5942311.1	K08315
MBA5942312.1	
MBA5942313.1	
MBA5942314.1	K03110
MBA5942315.1	
MBA5942316.1	K01880
MBA5942317.1	
MBA5942318.1	K03263
MBA5942319.1	K03699
MBA5942320.1	K00784
MBA5942321.1	K01992
MBA5942322.1	K01974
MBA5942323.1	K03595
MBA5942324.1	K09743
MBA5942325.1	K07163
MBA5942326.1	K00145
MBA5942327.1	K07068
MBA5942328.1	K07566
MBA5942329.1	K04651
MBA5942330.1	K02035
MBA5942331.1	K02035
MBA5942332.1	
MBA5942333.1	K04518
MBA5942334.1	K01784
MBA5942335.1	K03685
MBA5942336.1	
MBA5942337.1	K00772
MBA5942338.1	
MBA5942339.1	K21029
MBA5942340.1	K03799
MBA5942341.1	K04484
MBA5942342.1	
MBA5942343.1	
MBA5942344.1	
MBA5942345.1	K00335
MBA5942346.1	K00334
MBA5942347.1	
MBA5942348.1	K08264
MBA5942349.1	K01956
MBA5942350.1	K02864
MBA5942351.1	K02863
MBA5942352.1	K02867
MBA5942353.1	K01778
MBA5942354.1	
MBA5942355.1	
MBA5942356.1	K07138
MBA5942357.1	K17488
MBA5942358.1	K03686
MBA5942359.1	K02322
MBA5942360.1	K04069
MBA5942361.1	
MBA5942362.1	
MBA5942363.1	K08289
MBA5942364.1	
MBA5942365.1	K09482
MBA5942366.1	
MBA5942367.1	K01641
MBA5942368.1	K10725
MBA5942369.1	K02936
MBA5942370.1	K02979
MBA5942371.1	K02896
MBA5942372.1	K01174
MBA5942373.1	K15635
MBA5942374.1	K11687
MBA5942375.1	K02588
MBA5942376.1	K02589
MBA5942377.1	K02590
MBA5942378.1	K02587
MBA5942379.1	K02591
MBA5942380.1	K03753
MBA5942381.1	
MBA5942382.1	
MBA5942383.1	
MBA5942384.1	
MBA5942385.1	K02124
MBA5942386.1	K02123
MBA5942387.1	K05568
MBA5942388.1	K05567
MBA5942389.1	
MBA5942390.1	K02003
MBA5942391.1	K02004
MBA5942392.1	
MBA5942393.1	
MBA5942394.1	
MBA5942395.1	
MBA5942396.1	
MBA5942397.1	K02230
MBA5942398.1	K09150
MBA5942399.1	K07095
MBA5942400.1	K03390
MBA5942401.1	K03389
MBA5942402.1	K04801
MBA5942403.1	K01693
MBA5942404.1	K01972
MBA5942405.1	K02967
MBA5942406.1	K06990
MBA5942407.1	
MBA5942408.1	
MBA5942409.1	
MBA5942410.1	K02120
MBA5942411.1	
MBA5942412.1	
MBA5942413.1	
MBA5942414.1	K03124
MBA5942415.1	K01814
MBA5942416.1	K00197
MBA5942417.1	K03750
MBA5942418.1	K07158
MBA5942419.1	
MBA5942420.1	K01715
MBA5942421.1	K00074
MBA5942422.1	K07068
MBA5942423.1	
MBA5942424.1	K04800
MBA5942425.1	K01609
MBA5942426.1	K00766
MBA5942427.1	K02585
MBA5942428.1	K06965
MBA5942429.1	K24956
MBA5942430.1	K01809
MBA5942431.1	
MBA5942432.1	
MBA5942433.1	K01875
MBA5942434.1	
MBA5942435.1	
MBA5942436.1	K07076
MBA5942437.1	
MBA5942438.1	K15778
MBA5942439.1	K01869
MBA5942440.1	K00611
MBA5942441.1	K13787
MBA5942442.1	K07728
MBA5942443.1	K03724
MBA5942444.1	K03498
MBA5942445.1	
MBA5942446.1	K11261
MBA5942447.1	
MBA5942448.1	
MBA5942449.1	
MBA5942450.1	
MBA5942451.1	
MBA5942452.1	K01737
MBA5942453.1	K02924
MBA5942454.1	K02910
MBA5942455.1	K03264
MBA5942456.1	K00319
MBA5942457.1	K01885
MBA5942458.1	K01939
MBA5942459.1	K04069
MBA5942460.1	K00656
MBA5942461.1	
MBA5942462.1	K06863
MBA5942463.1	K09011
MBA5942464.1	K00626
MBA5942465.1	K22447
MBA5942466.1	K04043
MBA5942467.1	
MBA5942468.1	
MBA5942469.1	K04802
MBA5942470.1	K18882
MBA5942471.1	
MBA5942472.1	K09141
MBA5942473.1	
MBA5942474.1	
MBA5942475.1	K21612
MBA5942476.1	K03186
MBA5942477.1	K06981
MBA5942478.1	K07075
MBA5942479.1	K01892
MBA5942480.1	
MBA5942481.1	K02907
MBA5942482.1	K02988
MBA5942483.1	K02881
MBA5942484.1	K02885
MBA5942485.1	K22373
MBA5942486.1	
MBA5942487.1	K02469
MBA5942488.1	K21636
MBA5942489.1	
MBA5942490.1	
MBA5942491.1	K07068
MBA5942492.1	K00053
MBA5942493.1	
MBA5942494.1	K03635
MBA5942495.1	K00193
MBA5942496.1	
MBA5942497.1	K00192
MBA5942498.1	K22882
MBA5942499.1	K07321
MBA5942500.1	
MBA5942501.1	K01916
MBA5942502.1	K16306
MBA5942503.1	K06984
MBA5942504.1	K16881
MBA5942505.1	K00762
MBA5942506.1	K00826
MBA5942507.1	K00891
MBA5942508.1	K23684
MBA5942509.1	
MBA5942510.1	K02019
MBA5942511.1	K00133
MBA5942512.1	K09119
MBA5942513.1	K01749
MBA5942514.1	K03627
MBA5942515.1	
MBA5942516.1	K00869
MBA5942517.1	K09903
MBA5942518.1	K03789
MBA5942519.1	
MBA5942520.1	K06213
MBA5942521.1	K23992
MBA5942522.1	
MBA5942523.1	K00656
MBA5942524.1	
MBA5942525.1	K06944
MBA5942526.1	K03420
MBA5942527.1	K22012
MBA5942528.1	K22011
MBA5942529.1	
MBA5942530.1	K01784
MBA5942531.1	K04257
MBA5942532.1	K04070
MBA5942533.1	
MBA5942534.1	
MBA5942535.1	
MBA5942536.1	
MBA5942537.1	
MBA5942538.1	
MBA5942539.1	K07456
MBA5942540.1	K02683
MBA5942541.1	K02201
MBA5942542.1	
MBA5942543.1	
MBA5942544.1	K08974
MBA5942545.1	K06176
MBA5942546.1	K00859
MBA5942547.1	K07072
MBA5942548.1	
MBA5942549.1	K03687
MBA5942550.1	K25028
MBA5942551.1	K11780
MBA5942552.1	
MBA5942553.1	K00948
MBA5942554.1	K03234
MBA5942555.1	
MBA5942556.1	K01858
MBA5942557.1	
MBA5942558.1	K01868
MBA5942559.1	
MBA5942560.1	K22447
MBA5942561.1	K07577
MBA5942562.1	K02984
MBA5942563.1	K23265
MBA5942564.1	K01515
MBA5942565.1	K10716
MBA5942566.1	
MBA5942567.1	K00384
MBA5942568.1	K03470
MBA5942569.1	K03124
MBA5942570.1	K09120
MBA5942571.1	
MBA5942572.1	K19712
MBA5942573.1	K01937
MBA5942574.1	
MBA5942575.1	K09791
MBA5942576.1	K12234
MBA5942577.1	
MBA5942578.1	K01159
MBA5942579.1	K07573
MBA5942580.1	
MBA5942581.1	K03265
MBA5942582.1	
MBA5942583.1	
MBA5942584.1	K09154
MBA5942585.1	K03547
MBA5942586.1	K01589
MBA5942587.1	K01588
MBA5942588.1	
MBA5942589.1	K03231
MBA5942590.1	K02946
MBA5942591.1	
MBA5942592.1	
MBA5942593.1	
MBA5942594.1	K03726
MBA5942595.1	K01755
MBA5942596.1	K15635
MBA5942597.1	
MBA5942598.1	K04483
MBA5942599.1	K02626
MBA5942600.1	
MBA5942601.1	K10726
MBA5942602.1	K02379
MBA5942603.1	
MBA5942604.1	
MBA5942605.1	
MBA5942606.1	K01890
MBA5942607.1	K08851
MBA5942608.1	
MBA5942609.1	
MBA5942610.1	K07123
MBA5942611.1	K11781
MBA5942612.1	K09981
MBA5942613.1	K01874
MBA5942614.1	
MBA5942615.1	
MBA5942616.1	
MBA5942617.1	
MBA5942618.1	K00820
MBA5942619.1	K03539
MBA5942620.1	
MBA5942621.1	
MBA5942622.1	
MBA5942623.1	K07076
MBA5942624.1	K03654
MBA5942625.1	K01955
MBA5942626.1	K03605
MBA5942627.1	
MBA5942628.1	K13571
MBA5942629.1	K20814
MBA5942630.1	
MBA5942631.1	K00610
MBA5942632.1	K01649
MBA5942633.1	K04517
MBA5942634.1	
MBA5942635.1	K10026
MBA5942636.1	
MBA5942637.1	
MBA5942638.1	K03637
MBA5942639.1	K02991
MBA5942640.1	K01499
MBA5942641.1	K07101
MBA5942642.1	
MBA5942643.1	K01687
MBA5942644.1	K06988
MBA5942645.1	K07076
MBA5942646.1	K02933
MBA5942647.1	
MBA5942648.1	K21219
MBA5942649.1	K18933
MBA5942650.1	
MBA5942651.1	
MBA5942652.1	
MBA5942653.1	
MBA5942654.1	
MBA5942655.1	K01803
MBA5942656.1	
MBA5942657.1	
MBA5942658.1	
MBA5942659.1	
MBA5942660.1	K17286
MBA5942661.1	K07561
MBA5942662.1	K07076
MBA5942663.1	
MBA5942664.1	
MBA5942665.1	K14127
MBA5942666.1	K14128
MBA5942667.1	K14126
MBA5942668.1	K03388
MBA5942669.1	
MBA5942670.1	
MBA5942671.1	K07587
MBA5942672.1	K06936
MBA5942673.1	
MBA5942674.1	
MBA5942675.1	K09140
MBA5942676.1	
MBA5942677.1	K01092
MBA5942678.1	K00782
MBA5942679.1	
MBA5942680.1	
MBA5942681.1	K01889
MBA5942682.1	K06174
MBA5942683.1	
MBA5942684.1	K00555
MBA5942685.1	K15449
MBA5942686.1	K09128
MBA5942687.1	
MBA5942688.1	K01586
MBA5942689.1	K06215
MBA5942690.1	K07446
MBA5942691.1	
MBA5942692.1	
MBA5942693.1	
MBA5942694.1	K00202
MBA5942695.1	K00200
MBA5942696.1	K11260
MBA5942697.1	K00201
MBA5942698.1	K00203
MBA5942699.1	K00205
MBA5942700.1	
MBA5942701.1	K00320
MBA5942702.1	K03639
MBA5942703.1	
MBA5942704.1	
MBA5942705.1	K01933
MBA5942706.1	K01591
MBA5942707.1	
MBA5942708.1	K02528
MBA5942709.1	K00939
MBA5942710.1	
MBA5942711.1	
MBA5942712.1	
MBA5942713.1	
MBA5942714.1	K03752
MBA5942715.1	K02007
MBA5942716.1	K23997
MBA5942717.1	
MBA5942718.1	K03413
MBA5942719.1	
MBA5942720.1	
MBA5942721.1	
MBA5942722.1	K01439
MBA5942723.1	K00940
MBA5942724.1	K01520
MBA5942725.1	
MBA5942726.1	K13525
MBA5942727.1	K02987
MBA5942728.1	K02931
MBA5942729.1	
MBA5942730.1	K00789
MBA5942731.1	K00215
MBA5942732.1	
MBA5942733.1	K02434
MBA5942734.1	K02966
MBA5942735.1	K06875
MBA5942736.1	K09722
MBA5942737.1	
MBA5942738.1	K07142
MBA5942739.1	K15740
MBA5942740.1	
MBA5942741.1	K03709
MBA5942742.1	
MBA5942743.1	
MBA5942744.1	
MBA5942745.1	
MBA5942746.1	K03738
MBA5942747.1	
MBA5942748.1	
MBA5942749.1	K01704
MBA5942750.1	K02883
MBA5942751.1	K02871
MBA5942752.1	K02996
MBA5942753.1	K03058
MBA5942754.1	K03055
MBA5942755.1	
MBA5942756.1	
MBA5942757.1	
MBA5942758.1	K02428
MBA5942759.1	
MBA5942760.1	K05592
MBA5942761.1	K03555
MBA5942762.1	K06921
MBA5942763.1	K09490
MBA5942764.1	
MBA5942765.1	
MBA5942766.1	
MBA5942767.1	
MBA5942768.1	K01595
MBA5942769.1	K01613
MBA5942770.1	K00573
MBA5942771.1	K06961
MBA5942772.1	K07178
MBA5942773.1	K03236
MBA5942774.1	K17830
MBA5942775.1	
MBA5942776.1	K01678
MBA5942777.1	K01681
MBA5942778.1	K02601
MBA5942779.1	K07342
MBA5942780.1	K03531
MBA5942781.1	K09121
MBA5942782.1	K03622
MBA5942783.1	K00609
MBA5942784.1	K00600
MBA5942785.1	
MBA5942786.1	K03424
MBA5942787.1	K01895
MBA5942788.1	K00817
MBA5942789.1	K07442
MBA5942790.1	
MBA5942791.1	
MBA5942792.1	
MBA5942793.1	K00286
MBA5942794.1	
MBA5942795.1	K19664
MBA5942796.1	
MBA5942797.1	K07403
MBA5942798.1	
MBA5942799.1	K03572
MBA5942800.1	
MBA5942801.1	
MBA5942802.1	
MBA5942803.1	
MBA5942804.1	K00806
MBA5942805.1	
MBA5942806.1	K22222
MBA5942807.1	
MBA5942808.1	
MBA5942809.1	K03072
MBA5942810.1	
MBA5942811.1	
MBA5942812.1	K00400
MBA5942813.1	K08264
MBA5942814.1	
MBA5942815.1	K07318
MBA5942816.1	K07318
MBA5942817.1	
MBA5942818.1	
MBA5942819.1	K11646
MBA5942820.1	K07041
MBA5942821.1	K03433
MBA5942822.1	K07722
MBA5942823.1	K14656
MBA5942824.1	
MBA5942825.1	K06914
MBA5942826.1	
MBA5942827.1	K01923
MBA5942828.1	K07558
MBA5942829.1	K02433
MBA5942830.1	K06937
MBA5942831.1	
MBA5942832.1	K03537
MBA5942833.1	K07562
MBA5942834.1	K02118
MBA5942835.1	K02117
MBA5942836.1	K07301
MBA5942837.1	K02117
MBA5942838.1	
MBA5942839.1	K00147
MBA5942840.1	
MBA5942841.1	
MBA5942842.1	K06953
MBA5942843.1	
MBA5942844.1	K03059
MBA5942845.1	K02921
MBA5942846.1	
MBA5942847.1	
MBA5942848.1	
MBA5942849.1	
MBA5942850.1	K00104
